"county","state","mean_household_income","pctile","race","deaths","population","crude_rate"
"Cumberland","TN",52057,23,"White",67,9623,696.248571131664
"Cuming","NE",61408,53,"White",11,1928,570.539419087137
"Currituck","NC",73173,82,"White",31,4156,745.909528392685
"Curry","NM",55690,34,"Black or African American",18,1628,1105.65110565111
"Curry","NM",55690,34,"White",80,13500,592.592592592593
"Curry","OR",51573,21,"White",18,3058,588.620013080445
"Custer","MT",62681,58,"White",13,2539,512.01260338716
"Custer","NE",67609,72,"White",17,2261,751.87969924812
"Custer","OK",63041,59,"White",26,5648,460.339943342776
"Cuyahoga","OH",66851,70,"Black or African American",1800,109262,1647.41630209954
"Cuyahoga","OH",66851,70,"White",948,163750,578.931297709924
"Dade","GA",57123,39,"White",26,3117,834.13538658967
"Dakota","MN",96118,97,"White",317,79486,398.81236947387
"Dakota","MN",96118,97,"Black or African American",81,9568,846.571906354515
"Dakota","NE",61822,55,"White",25,5499,454.628114202582
"Dale","AL",56174,35,"White",51,9668,527.513446421183
"Dale","AL",56174,35,"Black or African American",34,2934,1158.82753919564
"Dallam","TX",56493,36,"White",23,2176,1056.98529411765
"Dallas","AL",43125,4,"Black or African American",80,8933,895.555804321057
"Dallas","AL",43125,4,"White",15,2349,638.569604086846
"Dallas","AR",42952,4,"Black or African American",10,903,1107.41971207087
"Dallas","IA",103933,98,"White",51,16038,317.994762439207
"Dallas","MO",45850,8,"White",24,3647,658.075130244036
"Dallas","TX",77675,88,"White",3110,512599,606.712069278325
"Dallas","TX",77675,88,"Black or African American",1896,153246,1237.22642026546
"Dane","WI",85259,93,"Black or African American",129,11190,1152.81501340483
"Dane","WI",85259,93,"White",393,86438,454.661144404082
"Dare","NC",68873,75,"White",38,6142,618.690980136763
"Darke","OH",58006,42,"White",58,11922,486.495554437175
"Darlington","SC",49852,16,"Black or African American",102,7653,1332.8106624853
"Darlington","SC",49852,16,"White",68,7473,909.942459520942
"Dauphin","PA",72581,81,"Black or African American",191,17443,1094.99512698504
"Dauphin","PA",72581,81,"White",245,39072,627.047502047502
"Davidson","NC",58052,42,"Black or African American",53,3732,1420.15005359057
"Davidson","NC",58052,42,"White",210,28947,725.46377862991
"Davidson","TN",72553,81,"White",641,103896,616.963116963117
"Davidson","TN",72553,81,"Black or African American",692,53414,1295.54049500131
"Davie","NC",71900,80,"White",55,7106,773.993808049536
"Daviess","IN",59828,48,"White",68,8960,758.928571428571
"Daviess","KY",62065,56,"Black or African American",25,1772,1410.83521444695
"Daviess","KY",62065,56,"White",143,21264,672.498118886381
"Daviess","MO",55610,34,"White",18,2158,834.105653382762
"Davis","IA",64639,64,"White",12,2471,485.633346823148
"Davis","UT",87107,94,"Black or African American",11,1819,604.727872457394
"Davis","UT",87107,94,"White",452,94443,478.595554990841
"Davison","SD",60993,52,"White",26,4182,621.712099473936
"Dawson","GA",79836,90,"White",29,4153,698.290392487359
"Dawson","NE",64619,64,"White",52,6586,789.553598542362
"Dawson","TX",61896,55,"White",23,3366,683.303624480095
"Dearborn","IN",74475,84,"White",69,9639,715.841892312481
"Decatur","GA",48216,12,"White",28,3556,787.40157480315
"Decatur","GA",48216,12,"Black or African American",35,3384,1034.27895981087
"Decatur","IA",51260,20,"White",10,1695,589.970501474926
"Decatur","IN",61728,54,"White",40,6103,655.415369490415
"Decatur","TN",52654,24,"White",21,2086,1006.71140939597
"Defiance","OH",61324,53,"White",58,8281,700.398502596305
"DeKalb","AL",49257,14,"White",112,15895,704.624095627556
"DeKalb","GA",77787,88,"Black or African American",1192,105185,1133.24143176308
"DeKalb","GA",77787,88,"White",329,75333,436.727596139806
"DeKalb","IL",67764,72,"White",116,19321,600.383002950158
"DeKalb","IL",67764,72,"Black or African American",23,2037,1129.11143838979
"DeKalb","MO",56529,36,"White",11,2048,537.109375
"DeKalb","TN",63526,61,"White",28,3949,709.040263357812
"Delaware","IA",74548,84,"White",16,3693,433.252098564852
"Delaware","IN",52759,25,"White",158,19946,792.138774691667
"Delaware","IN",52759,25,"Black or African American",52,3093,1681.21564823796
"Delaware","NY",58038,42,"White",41,7597,539.68671844149
"Delaware","OH",119897,100,"White",162,34444,470.328649401928
"Delaware","OH",119897,100,"Black or African American",10,1551,644.745325596389
"Delaware","OK",53862,28,"White",29,4280,677.570093457944
"Delaware","PA",92813,96,"Black or African American",460,33156,1387.38086620823
"Delaware","PA",92813,96,"White",408,79695,511.951816299642
"Delta","CO",59903,48,"White",35,5689,615.222358938302
"Delta","MI",54916,31,"White",40,6808,587.544065804935
"Dent","MO",50482,18,"White",25,3299,757.805395574416
"Denton","TX",99744,97,"White",582,132864,438.041907514451
"Denton","TX",99744,97,"Black or African American",123,14190,866.807610993658
"Denver","CO",83293,92,"Black or African American",296,20668,1432.16566673118
"Denver","CO",83293,92,"White",852,136894,622.379359212237
"Deschutes","OR",73597,83,"White",137,28790,475.859673497742
"Desha","AR",39918,2,"White",10,1540,649.350649350649
"Desha","AR",39918,2,"Black or African American",20,2034,983.284169124877
"DeSoto","FL",45558,7,"Black or African American",13,952,1365.5462184874
"DeSoto","FL",45558,7,"White",32,6754,473.793307669529
"DeSoto","MS",74034,84,"Black or African American",97,7677,1263.51439364335
"DeSoto","MS",74034,84,"White",159,27614,575.794886651698
"DeWitt","TX",76889,87,"White",14,3882,360.638845955693
"Dickenson","VA",49530,15,"White",19,2999,633.544514838279
"Dickinson","IA",76896,87,"White",15,2846,527.055516514406
"Dickinson","KS",59466,47,"White",24,4168,575.815738963532
"Dickinson","MI",57521,40,"White",25,4420,565.610859728507
"Dickson","TN",61402,53,"White",69,10443,660.729675380638
"Dillon","SC",41579,3,"White",13,3340,389.221556886228
"Dillon","SC",41579,3,"Black or African American",46,4506,1020.86107412339
"Dimmit","TX",54900,31,"White",19,2963,641.241984475194
"Dinwiddie","VA",61652,54,"White",19,3488,544.724770642202
"Dinwiddie","VA",61652,54,"Black or African American",16,1385,1155.23465703971
"Dixie","FL",46132,8,"White",15,2831,529.848110208407
"Dodge","GA",47561,10,"Black or African American",22,1439,1528.83947185546
"Dodge","GA",47561,10,"White",23,2965,775.716694772344
"Dodge","MN",80735,91,"White",25,4723,529.32458183358
"Dodge","NE",63584,61,"White",47,8065,582.765034097954
"Dodge","WI",63986,62,"White",82,16205,506.016661524221
"Dooly","GA",42767,4,"Black or African American",23,1524,1509.18635170604
"Door","WI",70840,79,"White",25,4210,593.824228028504
"Dorchester","MD",66790,70,"Black or African American",42,2630,1596.95817490494
"Dorchester","MD",66790,70,"White",27,4031,669.808980401885
"Dorchester","SC",70368,78,"Black or African American",80,8778,911.369332421964
"Dorchester","SC",70368,78,"White",96,20289,473.162797575041
"Dougherty","GA",51255,20,"White",55,6903,796.75503404317
"Dougherty","GA",51255,20,"Black or African American",273,18286,1492.94542272777
"Douglas","CO",129949,100,"Black or African American",12,1096,1094.89051094891
"Douglas","CO",129949,100,"White",221,61838,357.385426436819
"Douglas","GA",69185,75,"Black or African American",111,12170,912.078882497946
"Douglas","GA",69185,75,"White",103,17531,587.530659973761
"Douglas","IL",66517,69,"White",26,4738,548.754748839173
"Douglas","KS",70927,79,"White",98,18281,536.075707018216
"Douglas","MN",73795,83,"White",36,7234,497.649986176389
"Douglas","MO",42937,4,"White",17,2754,617.283950617284
"Douglas","NE",76873,87,"Black or African American",309,24430,1264.83831354892
"Douglas","NE",76873,87,"White",622,111341,558.644165222155
"Douglas","NV",81334,91,"White",27,6545,412.528647822765
"Douglas","OR",55965,35,"White",128,19093,670.402765411407
"Douglas","WA",64801,65,"White",36,8301,433.682688832671
"Douglas","WI",59992,49,"White",48,8174,587.227795448985
"Drew","AR",47240,10,"Black or African American",25,1531,1632.91966035271
"Drew","AR",47240,10,"White",14,2885,485.26863084922
"Dubois","IN",70000,77,"White",71,9326,761.312459789835
"Dubuque","IA",70876,79,"White",94,19600,479.591836734694
"Dubuque","IA",70876,79,"Black or African American",11,1384,794.797687861272
"Duchesne","UT",69536,76,"White",30,5848,512.995896032832
"Dunklin","MO",43630,5,"Black or African American",26,1536,1692.70833333333
"Dunklin","MO",43630,5,"White",59,6799,867.774672745992
"Dunn","WI",65180,66,"White",31,7587,408.593647027811
"DuPage","IL",109256,99,"White",923,167930,549.633775978086
"DuPage","IL",109256,99,"Black or African American",142,11578,1226.46398341683
"Duplin","NC",47131,10,"White",72,10777,668.089449754106
"Duplin","NC",47131,10,"Black or African American",46,3477,1322.97958009779
"Durham","NC",76544,87,"Black or African American",343,26996,1270.55860127426
"Durham","NC",76544,87,"White",163,40085,406.63589871523
"Dutchess","NY",93359,96,"White",183,43143,424.170780891454
"Dutchess","NY",93359,96,"Black or African American",78,7521,1037.09613083367
"Duval","FL",67800,72,"Black or African American",1220,81884,1489.91255923013
"Duval","FL",67800,72,"White",868,125253,692.997373316408
"Duval","TX",53381,27,"White",18,3253,553.33538272364
"Dyer","TN",60346,50,"White",59,6884,857.059848925044
"Dyer","TN",60346,50,"Black or African American",36,1795,2005.57103064067
"Eagle","CO",105296,98,"White",58,12966,447.323769859633
"Early","GA",42143,3,"Black or African American",29,1745,1661.89111747851
"Eastland","TX",53381,27,"White",38,3801,999.736911339121
"Eaton","MI",69100,75,"Black or African American",24,1909,1257.20272393924
"Eaton","MI",69100,75,"White",81,19255,420.669955855622
"Ector","TX",78271,89,"White",254,40853,621.741365383203
"Ector","TX",78271,89,"Black or African American",25,2636,948.406676783005
"Eddy","NM",72597,81,"White",93,13051,712.589073634204
"Edgar","IL",57664,41,"White",26,3715,699.865410497981
"Edgecombe","NC",45037,6,"Black or African American",115,8104,1419.05231984205
"Edgecombe","NC",45037,6,"White",29,4516,642.161204605846
"Edgefield","SC",62900,59,"White",10,2584,386.996904024768
"Edgefield","SC",62900,59,"Black or African American",28,1876,1492.53731343284
"Edmonson","KY",52131,23,"White",11,2141,513.778608127043
"Edwards","IL",59828,48,"White",22,1347,1633.25909428359
"Effingham","GA",73369,83,"White",66,9948,663.449939686369
"Effingham","GA",73369,83,"Black or African American",34,1925,1766.23376623377
"Effingham","IL",68921,75,"White",66,8018,823.147917186331
"Elbert","GA",51252,20,"White",23,2840,809.859154929577
"Elbert","GA",51252,20,"Black or African American",11,1700,647.058823529412
"Elk","PA",59070,46,"White",31,5662,547.50971388202
"Elkhart","IN",61620,54,"White",344,49928,688.99214869412
"Elkhart","IN",61620,54,"Black or African American",76,5490,1384.33515482696
"Elko","NV",86277,94,"White",72,11262,639.318060735216
"Elliott","KY",38598,2,"White",13,1400,928.571428571429
"Ellis","KS",64791,65,"White",35,6220,562.700964630225
"Ellis","TX",79420,90,"Black or African American",54,3292,1640.34021871203
"Ellis","TX",79420,90,"White",170,31482,539.991106028842
"Elmore","AL",67663,72,"White",73,13264,550.361881785283
"Elmore","AL",67663,72,"Black or African American",50,3784,1321.35306553911
"Elmore","ID",57785,41,"White",57,8232,692.419825072886
"Emanuel","GA",43793,5,"Black or African American",39,2531,1540.89292769656
"Emanuel","GA",43793,5,"White",30,3264,919.117647058824
"Emery","UT",60344,50,"White",18,2866,628.053035589672
"Emmet","IA",65416,67,"White",19,2033,934.579439252336
"Emmet","MI",70388,78,"White",28,5522,507.062658457081
"Erath","TX",58681,44,"White",50,8189,610.575161802418
"Erie","NY",70408,78,"White",833,135008,617.000474045982
"Erie","NY",70408,78,"Black or African American",592,38532,1536.38534205336
"Erie","OH",66588,69,"White",86,12142,708.285290726404
"Erie","OH",66588,69,"Black or African American",30,2709,1107.41971207087
"Erie","PA",63185,60,"Black or African American",133,9468,1404.73172792564
"Erie","PA",63185,60,"White",315,48695,646.883663620495
"Escambia","AL",46106,8,"Black or African American",43,3052,1408.9121887287
"Escambia","AL",46106,8,"White",41,5083,806.61026952587
"Escambia","FL",60675,51,"Black or African American",344,22611,1521.38339746141
"Escambia","FL",60675,51,"White",308,43499,708.062254304697
"Essex","MA",96607,97,"Black or African American",78,21191,368.080789014204
"Essex","MA",96607,97,"White",613,128590,476.708919822692
"Essex","NJ",90512,95,"Black or African American",1079,93366,1155.66694514063
"Essex","NJ",90512,95,"White",440,94299,466.600918355444
"Essex","NY",67970,73,"White",28,6081,460.450583785562
"Essex","VA",61432,53,"Black or African American",12,990,1212.12121212121
"Estill","KY",40737,2,"White",30,3118,962.15522771007
"Etowah","AL",52903,25,"Black or African American",60,4276,1403.18054256314
"Etowah","AL",52903,25,"White",153,18061,847.129173356957
"Evans","GA",55142,32,"White",13,2006,648.055832502493
"Evans","GA",55142,32,"Black or African American",12,1041,1152.73775216138
"Fairfax","VA",145636,100,"White",33,4067,811.408900909761
"Fairfax","VA",145636,100,"Black or African American",12,410,2926.82926829268
"Fairfax","VA",145636,100,"White",787,184495,426.569825740535
"Fairfax","VA",145636,100,"Black or African American",222,28090,790.316838732645
"Fairfield","CT",141494,100,"White",604,158350,381.433533312283
"Fairfield","CT",141494,100,"Black or African American",296,29146,1015.5767515268
"Fairfield","OH",76365,86,"Black or African American",12,2126,564.440263405456
"Fairfield","OH",76365,86,"White",167,27946,597.581049166249
"Fairfield","SC",50543,18,"Black or African American",39,3363,1159.67885816236
"Falls","TX",48853,13,"White",19,2623,724.361418223408
"Falls","TX",48853,13,"Black or African American",18,1201,1498.75104079933
"Fannin","GA",52446,24,"White",39,4026,968.703427719821
"Fannin","TX",57311,39,"White",30,6069,494.315373208107
"Faulkner","AR",65609,67,"Black or African American",48,3335,1439.28035982009
"Faulkner","AR",65609,67,"White",138,21940,628.988149498633
"Fauquier","VA",115520,99,"Black or African American",13,1198,1085.14190317195
"Fauquier","VA",115520,99,"White",46,11296,407.223796033994
"Fayette","AL",48430,12,"White",17,3079,552.127314063007
"Fayette","GA",105787,98,"White",64,11760,544.21768707483
"Fayette","GA",105787,98,"Black or African American",20,3124,640.204865556978
"Fayette","IA",61852,55,"White",18,4055,443.896424167694
"Fayette","IL",58554,44,"White",23,4306,534.138411518811
"Fayette","IN",52626,24,"White",39,5130,760.233918128655
"Fayette","KY",73145,82,"White",331,51807,638.909799833999
"Fayette","KY",73145,82,"Black or African American",135,12980,1040.06163328197
"Fayette","OH",55529,33,"White",34,6362,534.423137378183
"Fayette","PA",54375,30,"Black or African American",30,1868,1605.99571734475
"Fayette","PA",54375,30,"White",176,23682,743.180474622076
"Fayette","TN",74084,84,"Black or African American",26,2529,1028.07433768288
"Fayette","TN",74084,84,"White",26,5268,493.545937737282
"Fayette","TX",70568,78,"White",18,4031,446.539320267924
"Fayette","WV",49365,15,"White",63,9340,674.518201284797
"Fentress","TN",42117,3,"White",37,3488,1060.77981651376
"Fergus","MT",57402,40,"White",10,2011,497.265042267529
"Fillmore","MN",67397,71,"White",22,4585,479.825517993457
"Finney","KS",65677,67,"White",80,11633,687.698787930886
"Flagler","FL",63509,61,"Black or African American",19,1995,952.380952380953
"Flagler","FL",63509,61,"White",51,11071,460.662993406196
"Flathead","MT",65238,66,"White",97,18615,521.085146387322
"Fleming","KY",55763,34,"White",23,3380,680.473372781065
"Florence","SC",60353,50,"Black or African American",288,15782,1824.86376885059
"Florence","SC",60353,50,"White",117,16057,728.654169521081
"Floyd","GA",58752,44,"White",157,17742,884.905873069553
"Floyd","GA",58752,44,"Black or African American",69,4435,1555.80608793687
"Floyd","IA",61836,55,"White",12,3277,366.188587122368
"Floyd","IN",73896,83,"Black or African American",10,1694,590.318772136954
"Floyd","IN",73896,83,"White",62,13687,452.984583911741
"Floyd","KY",45438,7,"White",76,9115,833.790455293472
"Floyd","TX",58403,43,"White",11,1727,636.942675159236
"Floyd","VA",57921,41,"White",12,2721,441.014332965821
"Fluvanna","VA",79420,90,"White",17,4354,390.445567294442
"Fluvanna","VA",79420,90,"Black or African American",11,722,1523.54570637119
"Ford","IL",60869,52,"White",15,2797,536.288880943868
"Ford","KS",61083,52,"White",100,11532,867.152271938952
"Forrest","MS",52545,24,"Black or African American",136,8476,1604.53043888627
"Forrest","MS",52545,24,"White",95,10272,924.844236760125
"Forsyth","GA",112289,99,"White",138,36057,382.727348365089
"Forsyth","GA",112289,99,"Black or African American",11,1136,968.30985915493
"Forsyth","NC",68076,73,"Black or African American",399,24815,1607.89844851904
"Forsyth","NC",68076,73,"White",391,54338,719.570098273768
"Fountain","IN",60185,49,"White",26,3760,691.489361702128
"Franklin","AL",47654,11,"White",64,7410,863.697705802969
"Franklin","AR",49614,15,"White",21,3872,542.355371900826
"Franklin","FL",58290,43,"White",12,1761,681.431005110733
"Franklin","GA",48259,12,"White",23,4114,559.06660184735
"Franklin","ID",60717,51,"White",17,3848,441.787941787942
"Franklin","IL",51417,21,"White",67,8270,810.157194679565
"Franklin","IN",63624,61,"White",22,4679,470.185937166061
"Franklin","KS",62722,58,"White",37,5922,624.788922661263
"Franklin","KY",62670,58,"White",67,8747,765.976906367898
"Franklin","KY",62670,58,"Black or African American",11,1433,767.620376831821
"Franklin","MA",72381,81,"White",47,11504,408.55354659249
"Franklin","ME",56692,37,"White",28,4957,564.857776881178
"Franklin","MO",65871,68,"White",139,22376,621.201287093314
"Franklin","MS",56025,35,"Black or African American",13,769,1690.50715214564
"Franklin","NC",57057,38,"Black or African American",51,3435,1484.71615720524
"Franklin","NC",57057,38,"White",40,9012,443.852640923214
"Franklin","NY",61437,53,"White",38,7834,485.065100842481
"Franklin","OH",73666,83,"Black or African American",1320,92699,1423.96358105265
"Franklin","OH",73666,83,"White",1357,202307,670.762751659606
"Franklin","PA",69480,76,"White",189,29581,638.92363341334
"Franklin","PA",69480,76,"Black or African American",12,2079,577.200577200577
"Franklin","TN",58889,45,"White",39,7083,550.614146548073
"Franklin","VA",63124,59,"White",57,8945,637.227501397429
"Franklin","VA",63124,59,"Black or African American",13,967,1344.36401240951
"Franklin","VA",63124,59,"Black or African American",29,1432,2025.13966480447
"Franklin","VT",73478,83,"White",57,10428,546.605293440736
"Franklin","WA",68350,74,"White",119,24000,495.833333333333
"Frederick","MD",103005,98,"Black or African American",57,6012,948.10379241517
"Frederick","MD",103005,98,"White",166,42546,390.165938043529
"Frederick","VA",84358,93,"White",80,14460,553.250345781466
"Freeborn","MN",63104,59,"White",35,6393,547.473799468168
"Freestone","TX",61620,54,"White",17,3315,512.820512820513
"Freestone","TX",61620,54,"Black or African American",15,661,2269.28895612708
"Fremont","CO",54172,29,"White",43,6974,616.575853168913
"Fremont","IA",69624,77,"White",11,1499,733.822548365577
"Fremont","ID",61349,53,"White",20,3702,540.248514316586
"Fremont","WY",68758,74,"White",34,5681,598.48618201021
"Fresno","CA",65011,66,"White",1419,217928,651.132484123197
"Fresno","CA",65011,66,"Black or African American",275,20270,1356.68475579674
"Frio","TX",59244,46,"White",26,4606,564.481111593574
"Fulton","AR",45181,6,"White",17,2159,787.40157480315
"Fulton","GA",96245,97,"White",480,100118,479.434267564274
"Fulton","GA",96245,97,"Black or African American",1317,113578,1159.55554772931
"Fulton","IL",56864,38,"White",43,6761,636.000591628457
"Fulton","IN",58022,42,"White",49,4635,1057.1736785329
"Fulton","NY",59738,48,"White",46,9942,462.683564675116
"Fulton","OH",69615,77,"White",56,9249,605.47086171478
"Fulton","PA",58594,44,"White",21,2909,721.897559298728
"Gadsden","FL",48855,13,"White",38,4015,946.450809464508
"Gadsden","FL",48855,13,"Black or African American",111,7082,1567.35385484326
"Gage","NE",60644,51,"White",30,4485,668.896321070234
"Gaines","TX",76442,87,"White",29,6042,479.973518702416
"Gallatin","MT",78101,89,"White",95,18231,521.090450331852
"Gallia","OH",53749,28,"White",62,6589,940.962209743512
"Galveston","TX",87270,94,"Black or African American",122,11514,1059.57964217474
"Galveston","TX",87270,94,"White",305,56546,539.38386446433
"Garfield","CO",78128,89,"White",75,14295,524.658971668415
"Garfield","OK",63402,60,"White",131,13511,969.580341943602
"Garland","AR",57619,40,"White",108,16475,655.538694992413
"Garland","AR",57619,40,"Black or African American",35,2521,1388.33796112654
"Garrard","KY",58952,45,"White",17,3122,544.522741832159
"Garrett","MD",61003,52,"White",39,5493,709.99453850355
"Garvin","OK",56230,35,"White",40,5510,725.952813067151
"Gasconade","MO",58432,43,"White",18,2751,654.307524536532
"Gaston","NC",60213,49,"White",278,36531,760.997508964989
"Gaston","NC",60213,49,"Black or African American",140,9026,1551.07467316641
"Geary","KS",57187,39,"Black or African American",41,3220,1273.29192546584
"Geary","KS",57187,39,"White",86,9160,938.864628820961
"Geauga","OH",100733,98,"White",85,17435,487.525093203327
"Gem","ID",47557,10,"White",19,3647,520.976144776529
"Genesee","MI",58131,42,"White",469,69295,676.816509127643
"Genesee","MI",58131,42,"Black or African American",513,29296,1751.09229929001
"Genesee","NY",64313,63,"White",53,10891,486.640345239188
"Geneva","AL",48969,14,"White",26,4782,543.70556252614
"George","MS",59946,49,"White",39,5644,690.999291282778
"Georgetown","SC",64295,63,"White",40,6576,608.272506082725
"Georgetown","SC",64295,63,"Black or African American",77,5375,1432.55813953488
"Gibson","IN",64673,64,"White",42,7180,584.958217270195
"Gibson","TN",51992,22,"White",60,8046,745.712155108128
"Gibson","TN",51992,22,"Black or African American",38,2808,1353.27635327635
"Gila","AZ",51779,22,"White",57,7261,785.015838038838
"Gilchrist","FL",56532,36,"White",20,3061,653.381247958184
"Giles","TN",52757,25,"Black or African American",16,807,1982.65179677819
"Giles","TN",52757,25,"White",26,5206,499.423741836343
"Giles","VA",58896,45,"White",24,3300,727.272727272727
"Gillespie","TX",73485,83,"White",20,4125,484.848484848485
"Gilmer","GA",56953,38,"White",44,5754,764.685436218283
"Gilmer","WV",48694,13,"White",12,1185,1012.6582278481
"Glacier","MT",45916,8,"White",10,1004,996.01593625498
"Gladwin","MI",50960,19,"White",39,4735,823.653643083421
"Glenn","CA",56840,38,"White",26,6740,385.756676557863
"Gloucester","NJ",94466,96,"Black or African American",96,7304,1314.34830230011
"Gloucester","NJ",94466,96,"White",195,46942,415.406246005709
"Gloucester","VA",77183,88,"White",34,6156,552.30669265757
"Glynn","GA",67986,73,"White",74,11080,667.870036101083
"Glynn","GA",67986,73,"Black or African American",94,6495,1447.26712856043
"Gogebic","MI",48621,13,"White",13,2252,577.264653641208
"Gonzales","TX",64511,64,"White",36,4753,757.416368609299
"Goochland","VA",123845,100,"White",14,2829,494.874513962531
"Goodhue","MN",76858,87,"White",37,9127,405.390599320697
"Gooding","ID",54804,31,"White",34,4085,832.313341493268
"Gordon","GA",54583,30,"White",91,12981,701.024574377937
"Goshen","WY",61744,55,"White",17,2458,691.619202603743
"Grady","GA",47023,9,"White",33,4222,781.620085267646
"Grady","GA",47023,9,"Black or African American",29,2242,1293.48795718109
"Grady","OK",68678,74,"White",62,9868,628.293473854884
"Grafton","NH",82133,92,"White",67,13520,495.562130177515
"Graham","AZ",56890,38,"White",41,7689,533.229288594095
"Grainger","TN",49536,15,"White",35,4312,811.688311688312
"Grand","CO",75515,86,"White",12,2576,465.83850931677
"Grant","AR",62971,59,"White",25,3554,703.432751828925
"Grant","IN",50773,19,"White",118,12549,940.313969240577
"Grant","IN",50773,19,"Black or African American",21,2094,1002.86532951289
"Grant","KS",69668,77,"White",12,2433,493.218249075216
"Grant","KY",54212,29,"White",37,6421,576.234231428126
"Grant","NM",57752,41,"White",35,6186,565.793727772389
"Grant","WA",60622,51,"White",140,24826,563.92491742528
"Grant","WI",59199,46,"White",61,9499,642.172860301084
"Grant","WV",49430,15,"White",20,2285,875.27352297593
"Granville","NC",62315,57,"White",38,7306,520.120448946072
"Granville","NC",62315,57,"Black or African American",31,3424,905.373831775701
"Gratiot","MI",55678,34,"White",49,8051,608.620047199106
"Graves","KY",53296,26,"White",44,8056,546.17676266137
"Gray","KS",72842,82,"White",10,1658,603.13630880579
"Gray","TX",59480,47,"White",49,5101,960.595961576162
"Grayson","KY",52512,24,"White",34,5616,605.413105413105
"Grayson","TX",65223,66,"Black or African American",30,2453,1222.99225438239
"Grayson","TX",65223,66,"White",127,24385,520.811974574533
"Grayson","VA",44785,6,"White",20,2493,802.246289610911
"Green","KY",50054,16,"White",12,2122,565.50424128181
"Green","WI",70874,79,"White",36,7320,491.803278688525
"Green","WI",70874,79,"White",25,3622,690.226394257316
"Greenbrier","WV",53736,28,"White",39,6256,623.401534526854
"Greene","AL",33595,1,"Black or African American",21,1904,1102.94117647059
"Greene","AR",54737,31,"White",85,9617,883.851512945825
"Greene","GA",75725,86,"Black or African American",22,1734,1268.74279123414
"Greene","IL",53485,27,"White",16,2835,564.373897707231
"Greene","IN",57027,38,"White",59,6699,880.728466935363
"Greene","MO",57607,40,"White",349,54637,638.761278986767
"Greene","MO",57607,40,"Black or African American",51,3768,1353.50318471338
"Greene","MS",51275,20,"White",15,2104,712.927756653992
"Greene","NC",50507,18,"White",22,2646,831.443688586546
"Greene","NC",50507,18,"Black or African American",28,1769,1582.81514980215
"Greene","NY",67084,70,"White",35,7649,457.576153745588
"Greene","OH",79602,90,"White",138,27023,510.67609073752
"Greene","OH",79602,90,"Black or African American",30,2902,1033.76981392143
"Greene","PA",63319,60,"White",61,6902,883.801796580701
"Greene","TN",51400,20,"White",89,11893,748.339359286976
"Greene","VA",76851,87,"White",22,3877,567.449058550426
"Greenlee","AZ",65685,67,"White",12,1931,621.43966856551
"Greenup","KY",60853,52,"White",47,6949,676.356310260469
"Greenville","SC",71260,80,"Black or African American",280,23502,1191.38796698153
"Greenville","SC",71260,80,"White",386,78173,493.776623642434
"Greenwood","KS",53714,28,"White",11,1245,883.534136546185
"Greenwood","SC",54332,30,"White",66,9937,664.184361477307
"Greenwood","SC",54332,30,"Black or African American",105,6226,1686.47606810151
"Greer","OK",53049,26,"White",10,1138,878.734622144113
"Gregg","TX",63790,62,"Black or African American",99,7618,1299.55368863219
"Gregg","TX",63790,62,"White",177,25009,707.74521172378
"Grenada","MS",52721,25,"Black or African American",44,2395,1837.16075156576
"Grenada","MS",52721,25,"White",13,2556,508.607198748044
"Grimes","TX",62604,57,"White",20,4618,433.08791684712
"Grimes","TX",62604,57,"Black or African American",10,1000,1000
"Grundy","IA",77685,88,"White",11,2358,466.497031382528
"Grundy","IL",80525,91,"White",62,10454,593.074421274153
"Grundy","MO",51190,20,"White",17,2437,697.578990562167
"Grundy","TN",41600,3,"White",22,3012,730.411686586985
"Guadalupe","TX",79411,90,"White",119,25812,461.025879435921
"Guadalupe","TX",79411,90,"Black or African American",16,1820,879.120879120879
"Guernsey","OH",53875,28,"White",51,8343,611.290902553038
"Guilford","NC",68153,73,"White",343,58243,588.911972254176
"Guilford","NC",68153,73,"Black or African American",605,42258,1431.68157508637
"Gulf","FL",54609,30,"White",20,1945,1028.27763496144
"Gunnison","CO",61646,54,"White",27,2596,1040.06163328197
"Guthrie","IA",69794,77,"White",10,2151,464.900046490005
"Gwinnett","GA",80034,90,"Black or African American",538,51236,1050.04293855883
"Gwinnett","GA",80034,90,"White",672,135454,496.109380306229
"Habersham","GA",53251,26,"White",49,8769,558.786634736002
"Hale","AL",47557,10,"Black or African American",26,2521,1031.33677112257
"Hale","TX",54850,31,"White",56,9517,588.420720815383
"Halifax","NC",47812,11,"White",25,3985,627.352572145546
"Halifax","NC",47812,11,"Black or African American",110,6977,1576.60885767522
"Halifax","VA",49505,15,"Black or African American",42,2797,1501.60886664283
"Halifax","VA",49505,15,"White",26,4057,640.867636184373
"Hall","GA",69891,77,"Black or African American",57,3670,1553.13351498638
"Hall","GA",69891,77,"White",252,44165,570.587569342239
"Hall","NE",63480,61,"White",101,14932,676.399678542727
"Hamblen","TN",51697,22,"White",82,13250,618.867924528302
"Hamilton","FL",50282,17,"Black or African American",17,1045,1626.79425837321
"Hamilton","FL",50282,17,"White",19,1812,1048.5651214128
"Hamilton","IA",66499,69,"White",18,3192,563.90977443609
"Hamilton","IL",58434,43,"White",13,1639,793.166564978646
"Hamilton","IN",114397,99,"White",290,59950,483.736447039199
